Date,Open,High,Low,Close,Volume
14-Dec-16,282.51,283.69,276.25,276.83,715041
13-Dec-16,279.32,283.53,279.08,282.53,745252
12-Dec-16,275.56,276.94,274.30,276.87,480671
9-Dec-16,276.94,277.67,273.69,275.96,663908
8-Dec-16,284.39,285.84,276.68,277.31,962992
7-Dec-16,278.23,285.45,278.10,285.20,892263
6-Dec-16,277.51,278.79,276.02,277.68,506856
5-Dec-16,274.45,277.81,274.43,276.47,911459
2-Dec-16,273.27,275.36,272.17,273.94,722707
1-Dec-16,273.62,276.19,272.42,273.06,751627
30-Nov-16,275.72,276.44,274.14,274.50,895299
29-Nov-16,274.63,278.20,274.34,275.39,561880
28-Nov-16,276.71,279.36,274.38,274.63,609164
25-Nov-16,275.00,279.00,274.92,276.61,324195
23-Nov-16,275.29,277.69,273.40,275.47,801952
22-Nov-16,271.68,275.17,270.06,275.00,812728
21-Nov-16,265.75,270.67,265.58,270.01,812212
18-Nov-16,269.75,272.19,264.92,265.74,915560
17-Nov-16,268.38,272.29,267.95,270.99,841766
16-Nov-16,267.14,269.98,265.56,269.90,867738
15-Nov-16,267.89,269.21,263.41,268.05,1192820
14-Nov-16,263.16,264.17,261.04,262.14,1522945
11-Nov-16,261.43,264.51,261.05,262.79,967433
10-Nov-16,264.00,266.44,261.08,262.54,943239
9-Nov-16,254.28,265.19,250.07,264.15,1109778
8-Nov-16,259.36,261.86,258.33,259.58,1038825
7-Nov-16,264.75,264.87,259.00,259.61,1324844
4-Nov-16,259.67,263.98,259.67,261.20,1064036
3-Nov-16,262.71,264.49,261.22,261.84,719026
2-Nov-16,264.09,265.97,262.55,262.70,808962
1-Nov-16,263.90,265.93,262.45,264.24,1055232
31-Oct-16,263.68,265.25,261.34,264.44,1378772
28-Oct-16,253.02,264.26,253.02,263.50,2725857
27-Oct-16,270.00,273.52,251.62,253.00,3364244
26-Oct-16,279.95,279.95,276.86,277.16,963641
25-Oct-16,278.03,280.39,277.20,280.27,725523
24-Oct-16,277.92,279.53,277.25,279.29,622952
21-Oct-16,272.78,276.25,271.80,275.56,665064
20-Oct-16,277.36,279.79,273.65,273.88,733731
19-Oct-16,276.01,281.48,273.55,278.06,902033
18-Oct-16,279.84,281.11,276.32,278.07,510047
17-Oct-16,279.07,280.41,277.76,277.97,820586
14-Oct-16,280.10,283.20,279.12,279.32,521282
13-Oct-16,275.27,279.01,274.57,278.89,614720
12-Oct-16,273.94,276.94,273.91,276.26,638803
11-Oct-16,277.19,277.19,274.27,274.59,572752
10-Oct-16,275.80,278.49,275.69,277.73,318772
7-Oct-16,278.62,278.62,274.64,275.38,505553
6-Oct-16,274.43,277.78,273.11,277.56,520988
5-Oct-16,275.39,276.55,274.61,274.86,544115
4-Oct-16,276.35,277.94,273.56,274.37,666055
3-Oct-16,279.43,279.99,275.85,276.08,791219
30-Sep-16,279.84,281.23,278.90,280.11,516526
29-Sep-16,282.13,283.62,278.76,278.90,677924
28-Sep-16,284.42,284.57,281.32,281.97,675817
27-Sep-16,283.28,285.67,281.89,284.54,885632
26-Sep-16,281.03,283.70,280.03,281.96,832213
23-Sep-16,281.83,283.46,279.58,281.77,755214
22-Sep-16,280.51,285.60,279.65,283.59,1285154
21-Sep-16,280.00,280.00,274.99,279.55,979967
20-Sep-16,276.40,278.22,274.53,275.15,739624
19-Sep-16,273.04,276.06,273.04,275.46,654916
16-Sep-16,274.39,275.44,272.42,272.68,1113397
15-Sep-16,276.18,277.05,274.88,276.04,664931
14-Sep-16,278.90,279.55,276.07,276.48,728770
13-Sep-16,277.53,279.32,276.56,278.42,978615
12-Sep-16,277.57,280.49,276.86,279.23,1037421
9-Sep-16,280.04,281.90,278.10,278.21,1368869
8-Sep-16,282.00,283.09,280.78,281.95,823476
7-Sep-16,283.32,283.34,281.06,282.73,589141
6-Sep-16,282.53,283.25,281.22,283.09,578369
2-Sep-16,282.34,283.10,281.51,282.58,658893
1-Sep-16,280.70,283.50,280.00,282.13,526130
31-Aug-16,278.09,280.49,277.68,279.95,687712
30-Aug-16,280.41,280.53,276.67,277.97,802991
29-Aug-16,277.98,281.32,277.91,280.03,609820
26-Aug-16,283.57,284.00,276.90,278.25,927889
25-Aug-16,283.70,285.58,283.38,284.17,404954
24-Aug-16,284.48,286.69,283.71,284.45,394401
23-Aug-16,287.24,287.80,284.77,285.15,405273
22-Aug-16,286.00,288.67,285.98,286.53,467073
19-Aug-16,285.12,287.57,284.66,285.72,367512
18-Aug-16,286.24,286.32,284.40,286.01,365603
17-Aug-16,285.92,286.06,283.32,285.73,392155
16-Aug-16,285.83,287.38,285.02,285.92,498978
15-Aug-16,286.70,287.75,285.91,287.14,410917
12-Aug-16,286.54,287.52,285.15,286.73,435880
11-Aug-16,288.88,291.56,287.85,288.10,604869
10-Aug-16,287.21,289.09,286.40,288.46,480435
9-Aug-16,288.52,288.60,285.96,286.71,362969
8-Aug-16,289.55,290.63,287.16,287.65,286124
5-Aug-16,289.07,291.18,288.40,290.48,653972
4-Aug-16,287.25,289.95,286.88,288.71,504559
3-Aug-16,287.62,288.63,285.41,286.68,703367
2-Aug-16,287.00,288.54,284.19,287.02,697751
1-Aug-16,290.63,291.68,288.42,289.01,673327
29-Jul-16,288.66,291.91,286.82,290.63,829765
28-Jul-16,278.80,292.84,275.01,288.67,2382089
27-Jul-16,281.95,283.31,276.94,277.51,979720
26-Jul-16,280.00,284.66,278.93,281.77,1060296
25-Jul-16,273.31,278.78,271.75,278.74,772741
22-Jul-16,272.60,274.26,270.96,273.97,425701
21-Jul-16,273.49,273.95,270.32,271.33,468758
20-Jul-16,273.66,275.47,273.18,274.14,542040
19-Jul-16,270.15,273.73,266.80,273.22,902840
18-Jul-16,274.95,275.93,274.13,274.28,570538
15-Jul-16,279.36,279.46,273.43,273.63,512161
14-Jul-16,277.13,278.00,275.52,277.65,393142
13-Jul-16,277.13,277.13,274.02,276.22,459629
12-Jul-16,278.25,278.86,274.59,276.13,492201
11-Jul-16,281.65,281.65,277.70,277.86,548503
8-Jul-16,277.73,280.81,276.09,280.61,573036
7-Jul-16,276.71,277.59,274.32,275.28,468803
6-Jul-16,274.98,277.48,274.89,277.38,620541
5-Jul-16,272.54,277.20,272.51,275.75,747893
1-Jul-16,271.88,275.10,271.28,274.23,693491
30-Jun-16,274.00,274.00,269.94,271.10,1063401
29-Jun-16,272.40,274.79,272.38,273.67,855854
28-Jun-16,269.37,271.67,267.51,271.43,732862
27-Jun-16,265.55,269.83,265.30,267.73,1185529
24-Jun-16,255.01,269.33,255.01,267.66,1475085
23-Jun-16,264.29,265.60,262.56,264.25,448142
22-Jun-16,261.74,264.18,261.01,262.75,458044
21-Jun-16,261.22,262.83,260.28,260.77,395876
20-Jun-16,261.82,264.77,259.60,261.64,491846
17-Jun-16,259.35,260.92,258.38,259.98,806714
16-Jun-16,258.98,259.98,258.01,259.81,454655
15-Jun-16,259.66,262.85,258.26,260.46,476928
14-Jun-16,259.30,260.25,257.52,259.65,533772
13-Jun-16,260.62,262.81,259.67,259.84,573178
10-Jun-16,260.07,263.46,259.56,261.04,529443
9-Jun-16,261.23,264.37,260.46,262.35,471609
8-Jun-16,259.88,262.14,259.60,261.41,424476
7-Jun-16,258.63,261.26,258.45,260.28,550104
6-Jun-16,258.96,259.34,257.14,258.77,633863
3-Jun-16,262.38,262.50,258.37,259.53,612164
2-Jun-16,263.19,263.73,260.11,262.69,732436
1-Jun-16,264.34,266.56,262.42,263.54,715568
31-May-16,267.08,267.09,263.77,264.43,1010720
27-May-16,264.50,267.11,264.50,265.88,507123
26-May-16,264.18,267.75,263.66,264.12,767853
25-May-16,257.80,264.40,257.22,263.63,1103430
24-May-16,252.72,259.00,250.90,257.50,751609
23-May-16,256.66,257.67,253.17,253.32,608323
20-May-16,256.11,258.56,255.47,256.79,763236
19-May-16,249.03,256.10,248.02,255.46,1017550
18-May-16,253.98,256.28,251.66,255.63,1063434
17-May-16,260.07,261.64,253.30,254.16,1216713
16-May-16,257.58,262.96,256.69,261.84,593590
13-May-16,263.54,265.25,257.96,258.22,974060
12-May-16,263.01,266.40,261.85,265.13,639473
11-May-16,268.13,268.50,262.65,262.76,567948
10-May-16,267.65,269.68,267.26,268.83,426412
9-May-16,264.92,269.66,264.82,267.19,443707
6-May-16,262.15,266.50,261.52,265.92,488166
5-May-16,267.71,267.71,263.32,263.45,629777
4-May-16,265.52,269.33,264.68,268.54,584623
3-May-16,262.00,269.46,262.00,268.20,821887
2-May-16,262.75,265.59,262.68,264.28,587402
29-Apr-16,263.62,265.59,260.16,262.68,1069740
28-Apr-16,261.54,269.46,261.00,265.03,1852401
27-Apr-16,272.64,273.83,271.01,272.87,869052
26-Apr-16,271.62,274.00,270.49,272.34,715412
25-Apr-16,268.61,270.39,266.13,270.30,611555
22-Apr-16,269.22,270.86,267.63,269.65,644403
21-Apr-16,273.10,273.40,269.69,269.76,606615
20-Apr-16,275.52,275.53,272.41,273.58,430038
19-Apr-16,273.76,275.89,272.81,274.31,620783
18-Apr-16,268.51,273.10,268.51,272.87,634683
15-Apr-16,269.75,269.76,268.01,268.75,552136
14-Apr-16,274.00,274.00,269.48,269.79,766879
13-Apr-16,270.73,271.20,266.67,269.37,698626
12-Apr-16,268.04,269.01,265.44,268.75,868722
11-Apr-16,269.60,270.40,266.79,266.93,580946
8-Apr-16,270.55,271.11,267.84,269.82,525069
7-Apr-16,270.16,273.49,267.63,269.33,475008
6-Apr-16,271.17,272.33,268.41,271.66,488046
5-Apr-16,271.17,271.92,269.99,270.51,575842
4-Apr-16,277.69,277.69,271.50,272.15,554476
1-Apr-16,273.19,277.83,271.31,277.82,646409
31-Mar-16,277.56,277.66,273.51,273.66,563062
30-Mar-16,276.52,277.11,274.01,276.64,425846
29-Mar-16,273.48,275.90,273.47,275.31,555363
28-Mar-16,274.91,275.42,271.84,273.36,618941
24-Mar-16,276.35,277.17,273.40,274.76,570981
23-Mar-16,272.70,277.68,271.62,276.44,726914
22-Mar-16,270.33,273.50,269.66,272.74,602336
21-Mar-16,266.99,269.72,266.41,269.61,453095
18-Mar-16,268.60,269.66,265.24,268.53,972524
17-Mar-16,269.15,269.81,266.42,267.75,639381
16-Mar-16,269.48,270.96,268.00,270.01,451575
15-Mar-16,270.66,273.49,270.15,271.13,568829
14-Mar-16,271.87,273.28,270.02,271.62,1126201
11-Mar-16,270.10,272.29,268.28,272.21,780069
10-Mar-16,264.77,268.59,263.87,268.14,682416
9-Mar-16,265.27,266.97,262.71,264.77,743633
8-Mar-16,260.01,268.26,258.55,264.81,1289849
7-Mar-16,263.98,265.57,260.93,262.01,860912
4-Mar-16,268.41,268.99,263.01,265.31,1165799
3-Mar-16,266.51,270.76,265.02,267.93,1143532
2-Mar-16,271.56,272.25,267.21,269.55,992042
1-Mar-16,263.18,272.22,261.64,272.22,1287984
29-Feb-16,262.06,264.78,259.82,260.32,837325
26-Feb-16,268.87,269.00,261.54,262.93,798675
25-Feb-16,264.77,267.78,262.90,267.27,772217
24-Feb-16,256.33,264.10,255.00,263.77,807809
23-Feb-16,258.76,260.75,255.83,258.78,879296
22-Feb-16,259.26,261.74,257.68,259.54,607106
19-Feb-16,252.82,259.55,249.04,257.84,882335
18-Feb-16,254.27,255.72,251.51,253.41,730308
17-Feb-16,257.91,260.03,251.74,254.62,1142908
16-Feb-16,255.14,259.50,253.03,255.76,1823321
12-Feb-16,254.47,255.96,248.30,253.02,1388465
11-Feb-16,242.00,253.49,238.48,249.53,2626483
10-Feb-16,240.01,242.93,235.86,236.70,1754317
9-Feb-16,231.90,240.00,230.17,236.29,1561730
8-Feb-16,238.91,239.37,226.51,233.53,1918278
5-Feb-16,250.88,251.44,241.05,242.07,1373530
4-Feb-16,253.24,253.60,247.05,250.88,999985
3-Feb-16,261.27,261.51,250.50,253.62,946110
2-Feb-16,263.60,266.23,254.77,259.49,1159144
1-Feb-16,260.32,266.19,258.43,265.25,1140632
29-Jan-16,257.59,261.27,255.40,260.90,1428505
28-Jan-16,248.07,257.75,246.39,256.34,1655270
27-Jan-16,250.25,251.86,244.65,246.42,880758
26-Jan-16,244.75,250.11,244.64,249.85,941155
25-Jan-16,243.68,247.00,240.39,243.89,1390535
22-Jan-16,239.55,240.54,236.90,239.44,589445
21-Jan-16,236.43,239.47,233.48,236.71,950531
20-Jan-16,232.33,239.90,228.01,236.63,1364817
19-Jan-16,235.91,236.90,232.31,235.69,956719
15-Jan-16,229.50,235.91,225.12,232.16,948848
14-Jan-16,235.49,238.34,233.29,235.99,756694
13-Jan-16,244.62,244.75,235.14,235.68,832159
12-Jan-16,237.94,243.87,236.09,243.13,788619
11-Jan-16,235.77,239.71,234.51,237.94,824187
8-Jan-16,239.75,241.50,234.00,234.66,880040
7-Jan-16,237.10,244.30,236.00,240.17,1053397
6-Jan-16,243.63,244.54,238.57,241.07,974008
5-Jan-16,246.86,249.49,245.25,247.96,823253
4-Jan-16,248.45,250.96,243.71,246.11,1191848
31-Dec-15,255.95,257.41,253.42,253.42,413466
30-Dec-15,258.41,259.60,257.18,257.66,383318
29-Dec-15,257.26,260.44,256.44,258.50,449458
28-Dec-15,252.56,256.00,251.99,255.94,516234
24-Dec-15,254.08,254.77,252.96,253.42,218651
23-Dec-15,253.82,254.51,252.01,254.15,442953
22-Dec-15,254.83,255.65,252.37,253.75,483799
21-Dec-15,252.30,254.66,250.92,253.73,675625
18-Dec-15,253.41,253.74,250.16,251.38,2673588
17-Dec-15,259.88,259.88,254.28,254.35,752611
16-Dec-15,255.31,258.39,251.90,257.64,957696
15-Dec-15,253.50,253.81,247.45,250.77,1314492
14-Dec-15,249.65,252.23,246.88,251.73,1027195
11-Dec-15,253.33,255.29,248.40,248.93,1051022
10-Dec-15,257.44,259.99,256.04,256.43,758271
